Index,Paper Title,Authors,Journal/Conference,Year,Tech (nm),Architecture,Cell Type,Core Size(Kb),N_row,N_col,Supply V(V),B_x,B_w,B_ADC,R_C,R,C_C,C,N_ADC,N,N_1b,B_pre-ADC,B_core,alpha,T_core(ns),CR(GB/s),TOPS,TOPS/W,E_OP1 (fJ),N_core,E_col (fJ),E_core (pJ),E_mvm (pJ),TOPS_a ,TOPS/mm2,Compute Model,IMC_Processor
23, A 28nm 384kb 6T-SRAM Computation-in-Memory Macro with 8b Precision for AI Edge Chips ,Jian-Wei Su et al.,ISSCC,2021,28,SRAM,6T,96,512,192,0.7,4,1,10,16,512,1,2,96,16,12288,8.0,6144.0,2,3.60,1706.67,3.41,1456,0.69,4,87.91,8.44,67.52,13.65,,QR,
23, A 28nm 384kb 6T-SRAM Computation-in-Memory Macro with 8b Precision for AI Edge Chips ,Jian-Wei Su et al.,ISSCC,2021,28,SRAM,6T,96,512,192,0.7,4,1,10,16,512,1,2,96,16,12288,8.0,6144.0,1,4.00,1536.00,3.07,1508.96,0.66,4,84.83,8.14,32.57,12.29,,QR,
24,A 2.75-to-75.9TOPS/W Computing-in-Memory NN Processor Supporting Set-Associate Block-Wise Zero Skipping and Ping-Pong CIM with Simultaneous Computation and Weight Updating,Jinshan Yue et al.,ISSCC ,2021,65,SRAM,6T,16,128,128,1,1,1,4,128,128,1,4,32,128,8192,7.0,4096.0,1,10.00,409.60,0.82,740,1.35,4,345.95,11.07,44.28,3.28,1.91,QS,Y
25,A Programmable Neural-Network Inference Accelerator Based on Scalable In-Memory Computing,Hongyang Jia et al.,ISSCC,2021,16,SRAM,8T1C,294,1152,256,0.8,1,1,8,1152,1152,1,1,256,1152,589824,10.2,294912.0,4,50.00,5898.24,11.80,1936,0.52,16,1190.08,304.66,19498.31,188.74,44.94,QR,Y
46,A 5.99-to-691.1TOPS/W Tensor-Train In-Memory-Computing Processor Using Bit-Level-Sparsity-Based Optimization and Variable-Precision Quantization,Ruiqi Guo et al.,ISSCC,2021,28,SRAM,6T,64,64,1024,0.6,2,1,5,64,64,1,16,128,64,32768,8.0,16384.0,1,,,0.005,383.68,2.606,16,333.611,42.702,683.236,0.087,0.03,QS,Y
46,A 5.99-to-691.1TOPS/W Tensor-Train In-Memory-Computing Processor Using Bit-Level-Sparsity-Based Optimization and Variable-Precision Quantization,Ruiqi Guo et al.,ISSCC,2021,28,SRAM,6T,64,64,1024,0.9,2,1,5,64,64,1,16,128,64,32768,8.0,16384.0,1,,,0.009,59.36,16.846,16,2156.334,276.011,4416.173,0.150,0.05,QS,Y
28,A 89 TOPS/W and 16.3 TOPS/mm2 All Digital SRAM- Based Full Precision Compute-In-Memory in 22nm for Machine-Learning Edge Applications,Yu-Der Chih et al.,ISSCC,2021,22,SRAM,6T+D,64,256,256,0.72,1,4,0,256,256,4,4,64,256,131072,12.0,65536.0,1,10.00,6553.60,13.11,1424,0.70,1,1438.20,92.04,92.04,13.11,64.89,DIMC,
33,"A 22 nm, 1540 TOP/s/W, 12.1 TOP/s/mm2 in-Memory Analog Matrix-Vector-Multiplier for DNN Acceleration",I. A. Papistas et al.,CICC,2021,22,SRAM,18T,1048,1024,1024,0.8,7,1.5,6,1024,1024,2,2,512,1024,11010048,18.5,5505024.0,1,44.40,123987.03,247.97,11025,0.09,1,1950.48,998.64,998.64,247.97,127.82,QS,
33,"A 22 nm, 1540 TOP/s/W, 12.1 TOP/s/mm2 in-Memory Analog Matrix-Vector-Multiplier for DNN Acceleration",I. A. Papistas et al.,CICC,2021,22,SRAM,18T,1048,1024,1024,0.6,7,1.5,6,1024,1024,2,2,512,1024,11010048,18.5,5505024.0,1,178.57,30828.38,61.66,19635,0.05,1,1095.19,560.74,560.74,61.66,31.78,QS,
34,A 128x128 SRAM Macro with Embedded Matrix-Vector Multiplication Exploiting Passive Gain via MOS Capacitor for Machine Learning Application,Rezwan A Rasul et al.,CICC,2021,65,SRAM,20T1C,16,128,128,0.7,5,1.5,5,128,128,2,2,64,128,122880,13.5,61440.0,1,325.00,189.05,0.38,2482.5,0.40,1,773.41,49.50,49.50,0.38,0.36,QR,
